link_id,party_id,master_entity_id,link_type,link_decision,confidence_score,confidence_tier,avg_score_with_peers,best_score_with_peer,num_matches,num_differences,num_hard_blocks,attribute_match_ratio,created_at,rec_start_date,rec_end_date,is_current
88e861eb-f033-49e6-95ca-32ed6a648504,SP_SmartPlus_application_A001_applicant,ENTITY_0001,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,18,0,0,1.0,2026-04-01T07:33:42.240639,2026-04-01T07:33:42.240650,,True
c35ec77d-f034-492d-9d61-87ab2d0d6ceb,SP_SmartPlus_lead_L001,ENTITY_0001,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,18,0,0,1.0,2026-04-01T07:33:42.245826,2026-04-01T07:33:42.245834,,True
24627779-f977-444e-8da1-8bf58930e346,SP_SmartPlus_quote_member_QM001,ENTITY_0001,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,19,0,0,1.0,2026-04-01T07:33:42.250604,2026-04-01T07:33:42.250611,,True
dbff65f4-87b3-4c4a-b2f2-98412e713eca,SP_Smile_policy_member_PM001,ENTITY_0001,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,19,0,0,1.0,2026-04-01T07:33:42.256325,2026-04-01T07:33:42.256335,,True
9b5f6a37-c2d5-49df-b14a-7dee9a0c53ee,SP_SmartPlus_application_A002_applicant,ENTITY_0002,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,18,0,0,1.0,2026-04-01T07:33:42.264594,2026-04-01T07:33:42.264600,,True
f2c6f275-f624-4496-b3e0-caa7c0b3023b,SP_SmartPlus_lead_L002,ENTITY_0002,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,18,0,0,1.0,2026-04-01T07:33:42.270428,2026-04-01T07:33:42.270435,,True
4fe4cead-030f-4e2c-8794-4d0e5e63f736,SP_SmartPlus_quote_member_QM002,ENTITY_0002,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,19,0,0,1.0,2026-04-01T07:33:42.279671,2026-04-01T07:33:42.279678,,True
55d58b77-5dd7-46fd-a6b5-220829c23371,SP_Smile_policy_member_PM002,ENTITY_0002,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,19,0,0,1.0,2026-04-01T07:33:42.284191,2026-04-01T07:33:42.284201,,True
903ffba2-0a0f-4b52-8c28-753871b74a84,SP_SmartPlus_lead_L003,ENTITY_0003,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,12,0,0,1.0,2026-04-01T07:33:42.287201,2026-04-01T07:33:42.287206,,True
3a148a58-e339-4fb1-90ab-98cf74726c68,SP_SmartPlus_quote_member_QM014,ENTITY_0003,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,13,0,0,1.0,2026-04-01T07:33:42.290295,2026-04-01T07:33:42.290300,,True
49b865df-13cd-4a83-a4ce-7144294614f8,SP_Smile_policy_member_PM012,ENTITY_0003,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,13,0,0,1.0,2026-04-01T07:33:42.293313,2026-04-01T07:33:42.293353,,True
0800f4d5-7e81-4e29-89de-1e2e9dae0637,SP_SmartPlus_lead_L004,ENTITY_0004,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.293378,2026-04-01T07:33:42.293382,,True
776f26d6-1a93-4c0d-ad77-dd07aa5da55c,SP_SmartPlus_application_A002_spouse,ENTITY_0005,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,12,0,0,1.0,2026-04-01T07:33:42.314139,2026-04-01T07:33:42.314146,,True
85f903d1-b61d-417f-9c79-0749cde5a5ba,SP_SmartPlus_quote_member_QM003,ENTITY_0005,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,13,0,0,1.0,2026-04-01T07:33:42.321443,2026-04-01T07:33:42.321473,,True
64e18b28-892e-4196-8651-195bdd400032,SP_Smile_policy_member_PM003,ENTITY_0005,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,13,0,0,1.0,2026-04-01T07:33:42.330972,2026-04-01T07:33:42.330993,,True
26bd7f53-dab2-4a78-970a-3fbb253ba872,SP_SmartPlus_application_A003_applicant,ENTITY_0006,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.331011,2026-04-01T07:33:42.331014,,True
fbab354f-78fc-4b1b-bfc2-06035bfe11e0,SP_SmartPlus_application_A003_spouse,ENTITY_0007,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.331035,2026-04-01T07:33:42.331038,,True
ac5ae945-709b-4d9e-b22c-a73562170224,SP_SmartPlus_application_A004_applicant,ENTITY_0008,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.331049,2026-04-01T07:33:42.331052,,True
f2c91aaf-9704-4ef7-a5da-5bea910ce853,SP_SmartPlus_application_A005_applicant,ENTITY_0009,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.331143,2026-04-01T07:33:42.331204,,True
2f095b6f-af10-4b12-bf17-68443bfe65c8,SP_SmartPlus_application_A006_applicant,ENTITY_0010,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.331218,2026-04-01T07:33:42.331220,,True
7810f47d-adea-4208-bdcf-162e7725dcff,SP_SmartPlus_quote_member_QM004,ENTITY_0011,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,6,0,0,1.0,2026-04-01T07:33:42.333469,2026-04-01T07:33:42.333475,,True
50e6d4d0-547c-4976-bac8-0a2db107c6ce,SP_Smile_policy_member_PM004,ENTITY_0011,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,6,0,0,1.0,2026-04-01T07:33:42.335237,2026-04-01T07:33:42.335242,,True
68074cc7-813c-4c75-9621-152b37b7dc2a,SP_SmartPlus_quote_member_QM005,ENTITY_0012,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.335247,2026-04-01T07:33:42.335248,,True
8378c788-c442-4165-924d-44ec81b988a6,SP_SmartPlus_quote_member_QM006,ENTITY_0013,SINGLETON,SINGLETON,1.0,,,,0,0,0,,2026-04-01T07:33:42.335252,2026-04-01T07:33:42.335253,,True
4620c7a3-ad16-4328-83ba-bcb00bd767ab,SP_SmartPlus_quote_member_QM007,ENTITY_0014,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,7,0,0,1.0,2026-04-01T07:33:42.336731,2026-04-01T07:33:42.336736,,True
455d2a68-7150-4980-bf8d-02ae9de4e9ac,SP_Smile_policy_member_PM005,ENTITY_0014,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,7,0,0,1.0,2026-04-01T07:33:42.343455,2026-04-01T07:33:42.343475,,True
02ef1daf-3eb5-4511-a888-2dc783dfa504,SP_SmartPlus_quote_member_QM008,ENTITY_0015,HARD_LINK,MUST_MERGE,1.0,HIGH,1.0,1.0,7,0,0,1.0,2026-04-01T07:33:42.345631,2026-04-01T07:33:42.345637,,True
